lambda,theta
0.34604175,0.68437516
0.33768708,0.58498847
0.31966908,0.69652939
0.39318052,0.5995983
0.42857795,0.52445945
0.32726389,0.85154619
0.38058307,0.85808215
0.32199314,0.57217125
0.35373541,0.70395957
0.38018712,0.71051689
0.3163198,0.87748331
0.30590318,0.84700048
0.33441536,0.54485278
0.33606368,0.8138826
0.42216725,0.61176463
0.28967871,0.80435854
0.26272066,0.76141786
0.42101664,0.64224049
0.33404779,0.66707914
0.48650021,0.43406398
0.49944875,0.46212575
0.45036662,0.60115032
0.46944049,0.61489852
0.28703263,0.84015241
0.32355308,0.76033218
0.29501247,0.83527133
0.35909958,0.61404784
0.37985146,0.72376332
0.29628123,0.74407242
0.49859556,0.64404172
0.32067287,0.79516748
0.47965246,0.3818593
0.34236566,0.83938911
0.42007064,0.42369248
0.26019631,0.75920082
0.41242666,0.60351494
0.48681024,0.68517099
0.30677758,0.87323574
0.39686779,0.63478547
0.27585595,0.76448359
0.42012019,0.62869225
0.34062818,0.80816156
0.28990097,0.80693521
0.56097513,0.54842593
0.36737513,0.59361948
0.36390661,0.64817342
0.43639207,0.35359292
0.44007073,0.89602072
0.38124417,0.90739315
0.28644522,0.84743484
0.46814873,0.79417764
0.44816134,0.71676534
0.32745673,0.72155243
0.31480896,0.65009381
0.44501462,0.85566324
0.2226616,0.68946516
0.33155546,0.86322057
0.3140396,0.59270346
0.50371578,0.61734343
0.23489259,0.90842998
0.62164593,0.29831666
0.55762639,0.41765507
0.37410453,0.48318934
0.28952997,0.55614074
0.37432534,0.82619884
0.28009675,0.46572512
0.29879106,0.86433659
0.29212693,0.87510772
0.32085822,0.42742997
0.26357232,0.44634324
0.31094984,0.65227444
0.45697002,0.5172902
0.26672328,0.62031828
0.31218293,0.88899378
0.35361069,0.50746536
0.45374,0.59678026
0.34736014,0.46256763
0.35212032,0.64232933
0.31569269,0.6579799
0.39553556,0.65792968
0.22164146,0.87663032
0.41244038,0.49049506
0.38880053,0.44739526
0.38464782,0.51901289
0.35092646,0.73979342
0.33403352,0.65242868
0.36275942,0.60477267
0.37586365,0.52569067
0.31082231,0.74126022
0.27751165,0.51039269
0.3559875,0.57690541
0.32988693,0.55296898
0.35893447,0.56672078
0.28812902,0.60593318
0.26281594,0.69959941
0.22788114,0.66019554
0.40165034,0.56482727
0.2819515,0.78147829
0.31666301,0.35538999
0.33345547,0.66332824
0.47851771,0.62034278
0.33264561,0.53439974
0.44258768,0.81215824
0.3665261,0.84507092
0.3013797,0.4395045
0.28991085,0.58040564
0.28602013,0.82890108
0.28167265,0.4159437
0.29027847,0.5888535
0.29143309,0.63092734
0.27955943,0.77570248
0.27820697,0.52742591
0.26344063,0.58072642
0.29878882,0.79496533
0.35938491,0.49608029
0.39840221,0.53775531
0.30998123,0.73212867
0.4164089,0.61787102
0.44950003,0.39295728
0.35545401,0.54617771
0.32368323,0.72768599
0.24258218,0.59139661
0.38148306,0.50526321
0.31697299,0.73868676
0.2920447,0.76785459
0.33899395,0.68796599
0.45481113,0.54746809
0.26713665,0.70647931
0.44218829,0.55272791
0.44605119,0.52376931
0.31764193,0.7663267
0.32015583,0.80640334
0.2599026,0.8485855
0.31519147,0.85036888
0.25806112,0.60874343
0.27062544,0.47233114
0.35602459,0.68057635
0.21314025,0.61192952
0.26279887,0.744925
0.42295849,0.47131404
0.49302205,0.51392116
0.41735213,0.54410299
0.4090094,0.41815599
0.23693577,0.82329506
0.35290795,0.64274618
0.34591545,0.49486127
0.3418368,0.60062574
0.38715874,0.65387253
0.27769911,0.64790024
0.31960107,0.71820262
0.33847651,0.6687945
0.31768955,0.5586111
0.27642545,0.57353788
0.34531209,0.80074901
0.31763051,0.9344706
0.22345666,0.81443371
0.43896397,0.36935443
0.27756359,0.83340129
0.33341759,0.72286121
0.37691335,0.79915524
0.41544008,0.81879269
0.21905085,0.78426777
0.52477174,0.85880358
0.29199451,0.50643534
0.30949222,0.71605
0.25299977,0.50204204
0.34340708,0.58408659
0.39293435,0.63534217
0.35834537,0.7475625
0.32117416,0.79031664
0.36679493,0.649639
0.29007356,0.7056751
0.44602859,0.5114851
0.47725089,0.27934096
0.32407773,0.956942
0.4318895,0.25690457
0.41065569,0.38898803
0.48344203,0.33936145
0.42768505,0.7507487
0.28108578,0.5854546
0.4502888,0.75333757
0.38843992,0.54867431
0.42889249,0.70826787
0.20183078,0.54359757
0.25447642,0.56913269
0.21791806,0.7179479
0.28353642,0.70155374
0.30474427,0.73677101
0.32206928,0.63636709
0.28604524,0.83585394
0.26634377,0.88666736
0.26246432,0.77777195
0.29644827,0.70496973
0.33272791,0.59388192
0.32354575,0.63038544
0.30884449,0.51253667
0.3629258,0.79615035
0.35985292,0.79433602
0.3430224,0.489271
0.28605491,0.70765009
0.38952799,0.56935909
0.43392376,0.53225983
0.25648902,0.81111677
0.39053444,0.50971452
0.37204368,0.63247503
0.40055659,0.58142627
0.27616208,0.69012793
0.34652056,0.6250441
0.3991128,0.74475544
0.28897878,0.76544572
0.34268417,0.89659127
0.26302026,0.84638057
0.41444985,0.50763967
0.46712069,0.66591033
0.23565985,0.73539529
0.32047014,0.55492192
0.3095157,0.64661504
0.38928691,0.63653676
0.36139109,0.47304614
0.53435854,0.51641278
0.35472401,0.48451251
0.41064517,0.47745677
0.46606447,0.54045321
0.26079897,0.76312884
0.42276456,0.72357642
0.37389468,0.62338539
0.27899209,0.46291809
0.2669104,0.51260266
0.31676362,0.67917492
0.21082862,0.62664726
0.31938452,0.89838979
0.23948252,0.58768176
0.30639234,0.65309526
0.26815697,0.63246608
0.36585685,0.65885631
0.35496282,0.52644738
0.29836569,0.59977127
0.35136805,0.81019058
0.33916355,0.47700735
0.41057267,0.86029703
0.3342309,0.93134186
0.31795389,0.9369518
0.29138442,0.85611845
0.3069433,0.8333586
0.48031256,0.52834381
0.32541199,0.62635586
0.31049125,0.71035755
0.25751145,0.85518719
0.32971591,0.72093402
0.32502267,0.7042072
0.39555764,0.75261947
0.35881883,0.81575365
0.24992992,0.88420697
0.3305828,0.8892326
0.35490721,0.90914733
0.21231163,0.95672912
0.32333212,0.40427972
0.28881854,0.87459236
0.28381656,0.69402529
0.28887102,0.74767461
0.33278657,0.73272979
0.44147346,0.48587836
0.39386699,0.28821789
0.38056736,0.37475188
0.25630778,0.82716853
0.33316144,0.70233004
0.34271185,0.67221022
0.32603646,0.65528963
0.42870953,0.4099525
0.40880595,0.34534055
0.34786025,0.61354569
0.40319694,0.71060331
0.30861957,0.62733595
0.37391077,0.5083669
0.3124519,0.6363292
0.40614702,0.73632128
0.38925222,0.69414968
0.34204153,0.53982243
0.33550245,0.60462132
0.41407947,0.64270475
0.41013471,0.32190884
0.30101933,0.5794741
0.45199429,0.64083892
0.25612664,0.69926879
0.30521319,0.76008389
0.30270151,0.78451219
0.30755641,0.44027879
0.52835924,0.78051058
0.32422944,0.58977545
0.30653874,0.7436034
0.30373091,0.71982169
0.29582628,0.79644086
0.36206049,0.26028603
0.26298717,0.81213717
0.33815085,0.37657061
0.38004947,0.3750776
0.28912626,0.83236791
0.37660863,0.43107063
0.36399456,0.69441141
0.40462308,0.51636697
0.40864131,0.66123353
0.40557035,0.7479295
0.35812533,0.53123475
0.29853721,0.81554118
0.30338507,0.82153886
0.360179,0.63859503
0.28685355,0.61371567
0.38030459,0.67425794
0.3040752,0.56525197
0.32007316,0.78697609
0.33869106,0.5216131
0.3744785,0.4813583
0.255166,0.63737826
0.24744786,0.63268798
0.39471787,0.83580961
0.24365953,0.92008284
0.25363707,0.83226829
0.39125276,0.62746704
0.35287921,0.53118818
0.29142152,0.61355403
0.29133067,0.80177739
0.29063569,0.78023999
0.23690713,0.73715394
0.26036125,0.87002898
0.33906938,0.33874621
0.31282195,0.75556825
0.34308818,0.76616025
0.34368473,0.77784897
0.24395602,0.57028408
0.31448822,0.65099665
0.27805213,0.72956105
0.29483514,0.77338734
0.2981931,0.68306859
0.33494611,0.48552917
0.40776444,0.67607448
0.43023493,0.77048256
0.22211475,0.43185763
0.20872636,0.66452882
0.49708051,0.57633636
0.39198356,0.55997792
0.40977037,0.51816325
0.34833469,0.92861069
0.38798882,0.44316761
0.30237502,0.88662523
0.33750838,0.75430982
0.3493562,0.69586406
0.30641616,0.73253391
0.32509038,0.56794561
0.35807554,0.65501072
0.34429298,0.43473127
0.34005399,0.6849406
0.28814599,0.51488882
0.31174005,0.80412422
0.38190255,0.85321531
0.24526116,0.82880254
0.35095188,0.44938955
0.37012176,0.48334046
0.30368849,0.74972667
0.38497418,0.73265066
0.3664064,0.81297655
0.3835834,0.56382087
0.38974218,0.39160175
0.29035263,0.80041682
0.35169383,0.45648337
0.28060686,0.84145268
0.29940018,0.6416113
0.40018476,0.74738482
0.41112253,0.67046635
0.26918507,0.59549451
0.35965438,0.49612624
0.34261142,0.66024784
0.391118,0.84673544
0.36526435,0.86969797
0.35442605,0.84062336
0.24112565,0.98553749
0.55986168,0.3252328
0.43068962,0.3420831
0.28779674,0.82095561
0.37015203,0.80510712
0.29408445,0.59831244
0.34072964,0.76639854
0.31608156,0.68476883
0.42946073,0.48553855
0.32160246,0.68267269
0.3406937,0.49752065
0.31065448,0.68306841
0.26974992,0.67826538
